,created_at,positivas
0,72,23
1,73,28
2,74,37
3,75,58
4,76,111
5,77,168
6,78,260
7,79,426
8,80,532
9,81,789
10,82,981
11,83,1082
12,84,1211
13,85,1403
14,86,1627
15,87,1835
16,88,1924
17,89,1966
18,90,2302
19,91,2758
20,92,3163
21,93,3368
22,94,3465
23,95,3646
24,96,3747
25,97,3995
26,98,4450
27,99,4965
28,100,7161
29,101,7257
30,102,7466
31,103,7529
32,104,7603
33,105,7858
34,106,8225
35,107,8450
36,108,9022
37,109,9468
38,110,10128
39,111,10398
40,112,10850
41,113,11183
42,114,11183
43,115,11183
44,116,11183
45,117,23240
46,118,24258
47,119,24675
48,120,24934
49,121,26336
50,122,27464
51,123,29538
52,124,31881
53,125,31881
54,126,29420
55,127,30298
56,128,28818
57,129,29071
58,130,29559
59,131,29509
60,132,30418
61,133,30486
62,134,30502
63,135,31467
64,136,32723
65,137,33182
66,138,33582
67,139,34151
68,140,34854
69,141,35306
70,142,35828
71,143,36258
72,144,36756
73,145,37355
74,146,37656
75,147,38103
76,148,38471
77,149,38571
78,150,38843
79,151,39098
80,152,39994
81,153,40414
82,154,40966
83,155,41575
84,156,42106
85,157,42728
86,158,43120
87,159,43378
88,160,43917
89,161,44440
90,162,45082
91,163,45778
92,164,46356
93,165,46751
94,166,47322
95,167,47943
96,168,48490
97,169,49097
98,170,49731
99,171,50183
100,172,50640
101,173,50915
102,174,51643
103,175,52334
104,176,53156
105,177,53856
106,178,54574
107,179,55255
108,180,55665
109,181,56342
110,182,58257
111,183,59486
112,184,60657
113,185,61535
114,186,61958
115,187,62380
116,188,63245
117,189,64221
118,190,65018
119,191,65801
120,192,67209
121,193,67870
122,194,68459
123,195,69570
124,196,70329
125,197,71365
126,198,72444
127,199,73382
128,200,74013
129,201,74620
130,202,76217
131,203,77257
132,204,78148
133,205,79049
134,206,80036
135,207,80694
136,208,81161
137,209,82279
138,210,83193
139,211,84370
140,212,85355
141,213,86232
142,214,86524
143,215,87041
144,216,87963
145,217,88866
146,218,90537
147,219,91969
148,220,93572
149,221,94459
150,222,94701
151,223,95563
152,224,97110
153,225,98343
154,226,99409
155,227,100688
156,228,101542
157,229,101751
158,230,102941
159,231,104475
160,232,105508
161,233,106481
162,234,107089
163,235,107769
164,236,108289
165,237,109030
166,238,110549
167,239,111219
168,240,112141
169,241,112906
170,242,113648
171,243,113767
172,244,114309
173,245,115457
174,246,116360
175,247,117175
176,248,118045
177,249,118740
178,250,119048
179,251,119713
180,252,121122
181,253,122162
182,254,123688
183,255,125407
184,256,127550
185,257,127867
186,258,128509
187,259,130481
188,260,131213
189,261,133085
190,262,134576
191,263,135375
192,264,135667
193,265,136599
194,266,138848
195,267,140102
196,268,141431
197,269,142937
198,270,143703
199,271,143921
200,272,144705
201,273,146003
202,274,147540
203,275,148490
204,276,149307
205,277,149990
206,278,150295
207,279,151012
208,280,152487
209,281,154001
210,282,154804
211,283,155784
212,284,155989
213,285,156271
214,286,157127
215,287,158039
216,288,159316
217,289,160615
218,290,161378
219,291,162245
220,292,162379
221,293,163071
222,294,164581
223,295,165407
224,296,167226
225,297,168570
226,298,170591
227,299,171134
228,300,172148
229,301,173864
230,302,175258
231,303,176103
232,304,177148
233,305,178150
234,306,178518
235,307,179066
236,308,180389
237,309,180739
238,310,181464
239,311,182442
240,312,183863
241,313,184225
242,314,184667
243,315,185586
244,316,186469
245,317,187630
246,318,188583
247,319,189251
248,320,189632
249,321,190060
250,322,191206
251,323,192202
252,324,192796
253,325,193832
254,326,194599
255,327,194900
256,328,195392
257,329,196186
258,330,197094
259,331,198490
260,332,199865
261,333,201073
262,334,201641
263,335,202629
264,336,203832
265,337,204840
266,338,205438
267,339,206347
268,340,206954
269,341,207200
270,342,207708
271,343,208184
272,344,209335
273,345,209721
